epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1135.87,1.21116,0.87069,1.24172,0.82549,0.74627,0.81784,0.43616,1.71749,0.96155,1.57737,0.0005348,0.0005348,0.0005348
76,1150.71,1.21362,0.88733,1.21066,0.7606,0.79104,0.81589,0.45082,1.75291,0.8813,1.57111,0.000515,0.000515,0.000515
77,1165.54,1.16757,0.84931,1.20026,0.80302,0.79098,0.83226,0.44855,1.7197,0.92469,1.60853,0.0004952,0.0004952,0.0004952
78,1180.25,1.13023,0.84867,1.18807,0.83238,0.81534,0.83085,0.43609,1.68631,0.90344,1.59976,0.0004754,0.0004754,0.0004754
79,1195.01,1.13003,0.81997,1.17852,0.86561,0.77612,0.8283,0.42291,1.72794,0.90201,1.63588,0.0004556,0.0004556,0.0004556
80,1209.8,1.15631,0.85457,1.18791,0.83971,0.80597,0.85257,0.44595,1.71784,0.85104,1.58367,0.0004358,0.0004358,0.0004358
81,1224.54,1.11954,0.81624,1.18289,0.78016,0.8209,0.83145,0.45244,1.72986,0.95204,1.60262,0.000416,0.000416,0.000416
82,1239.24,1.08645,0.81257,1.16384,0.80368,0.79435,0.81652,0.43087,1.77229,0.92328,1.61228,0.0003962,0.0003962,0.0003962
83,1253.86,1.10706,0.76868,1.16617,0.79538,0.81227,0.80965,0.43858,1.74713,0.89528,1.58841,0.0003764,0.0003764,0.0003764
84,1268.46,1.06388,0.80372,1.13714,0.80984,0.83582,0.80895,0.43737,1.75152,0.87201,1.58649,0.0003566,0.0003566,0.0003566
85,1283.08,1.09908,0.75391,1.17341,0.8641,0.76119,0.82012,0.44643,1.74418,0.88977,1.61245,0.0003368,0.0003368,0.0003368
86,1297.7,1.07079,0.80092,1.17811,0.84457,0.72994,0.79387,0.43742,1.70107,0.84874,1.60432,0.000317,0.000317,0.000317
87,1312.54,1.09264,0.77698,1.14615,0.8023,0.79104,0.81639,0.43551,1.76544,0.8187,1.61737,0.0002972,0.0002972,0.0002972
88,1327.21,1.08685,0.80443,1.18336,0.86952,0.73134,0.8279,0.44048,1.73482,0.85531,1.55547,0.0002774,0.0002774,0.0002774
89,1342.19,1.05071,0.76658,1.14359,0.77383,0.79104,0.82338,0.45626,1.73218,0.87119,1.5699,0.0002576,0.0002576,0.0002576
90,1357.15,1.10651,0.81304,1.17899,0.85495,0.79179,0.83963,0.44425,1.76986,0.92114,1.6416,0.0002378,0.0002378,0.0002378
91,1373.21,1.0671,0.75136,1.15512,0.85511,0.79279,0.84141,0.44936,1.76901,0.85707,1.62695,0.000218,0.000218,0.000218
92,1388.02,1.0619,0.74449,1.18865,0.83118,0.79104,0.85465,0.46329,1.71308,0.85303,1.59431,0.0001982,0.0001982,0.0001982
93,1402.82,0.97899,0.6827,1.11895,0.8076,0.81452,0.85727,0.45912,1.73501,0.8499,1.59934,0.0001784,0.0001784,0.0001784
94,1417.42,0.97685,0.66863,1.12671,0.86371,0.76119,0.85929,0.45482,1.7143,0.86434,1.57558,0.0001586,0.0001586,0.0001586
95,1431.9,0.98005,0.66035,1.11739,0.85091,0.77612,0.84831,0.4528,1.73088,0.8646,1.60159,0.0001388,0.0001388,0.0001388
96,1446.43,0.97131,0.68804,1.12813,0.88264,0.77612,0.8497,0.45139,1.73247,0.86931,1.61023,0.000119,0.000119,0.000119
97,1460.92,0.96338,0.64465,1.14038,0.85149,0.77023,0.84301,0.45079,1.71682,0.86832,1.60245,9.92e-05,9.92e-05,9.92e-05
98,1475.42,0.95561,0.64834,1.1068,0.87798,0.77612,0.8453,0.45053,1.71783,0.86267,1.58211,7.94e-05,7.94e-05,7.94e-05
99,1489.87,0.94939,0.65675,1.10829,0.83756,0.79104,0.84921,0.44676,1.74246,0.86601,1.62354,5.96e-05,5.96e-05,5.96e-05
100,1504.38,0.9605,0.64605,1.12776,0.88019,0.76763,0.8513,0.45032,1.73941,0.86006,1.60361,3.98e-05,3.98e-05,3.98e-05
