epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,2130.62,1.29715,1.05361,1.36638,0.7658,0.71642,0.74452,0.40128,1.6493,1.04263,1.62391,0.0006932,0.0006932,0.0006932
68,2161.78,1.33982,1.10242,1.37039,0.79849,0.71642,0.74088,0.41184,1.65834,1.11355,1.60262,0.0006734,0.0006734,0.0006734
69,2193.51,1.31934,1.07267,1.34708,0.819,0.70149,0.76495,0.42712,1.59025,1.04679,1.53485,0.0006536,0.0006536,0.0006536
70,2225.11,1.3335,1.09964,1.35477,0.82274,0.68657,0.7381,0.39777,1.60879,1.10363,1.63132,0.0006338,0.0006338,0.0006338
71,2256.5,1.36997,1.09079,1.39807,0.79148,0.73134,0.77058,0.40873,1.6107,1.04977,1.6151,0.000614,0.000614,0.000614
72,2287.5,1.3196,1.05645,1.35242,0.7692,0.69646,0.72604,0.37458,1.70056,1.16447,1.68502,0.0005942,0.0005942,0.0005942
73,2319.2,1.28255,1.0265,1.34005,0.81552,0.72583,0.78658,0.40687,1.63335,1.04547,1.67723,0.0005744,0.0005744,0.0005744
74,2350.68,1.27037,1.0399,1.34091,0.77393,0.73134,0.779,0.44248,1.64053,1.02318,1.66492,0.0005546,0.0005546,0.0005546
75,2382.12,1.32424,1.08396,1.38381,0.8885,0.71366,0.78694,0.4126,1.65862,1.07896,1.6449,0.0005348,0.0005348,0.0005348
76,2413.59,1.3423,1.0949,1.3602,0.86889,0.68657,0.78989,0.42529,1.59428,1.03952,1.6117,0.000515,0.000515,0.000515
77,2445.3,1.28259,1.01352,1.33073,0.77261,0.6593,0.73362,0.38859,1.67099,1.07967,1.70754,0.0004952,0.0004952,0.0004952
78,2476.68,1.25292,1.0355,1.33202,0.83026,0.70149,0.75018,0.37337,1.61349,1.03518,1.65693,0.0004754,0.0004754,0.0004754
79,2507.96,1.23495,1.01724,1.31842,0.8402,0.67164,0.76787,0.40114,1.61191,1.02527,1.65882,0.0004556,0.0004556,0.0004556
80,2539.76,1.27061,1.0322,1.32542,0.84344,0.73134,0.7982,0.4177,1.60287,1.07233,1.63218,0.0004358,0.0004358,0.0004358
81,2570.8,1.24414,0.99523,1.32243,0.83461,0.71642,0.80016,0.43752,1.57507,1.06009,1.56518,0.000416,0.000416,0.000416
82,2602.43,1.24506,1.02998,1.32295,0.77256,0.70149,0.74304,0.38484,1.65642,1.07086,1.64616,0.0003962,0.0003962,0.0003962
83,2633.55,1.22352,0.94002,1.2772,0.81239,0.71642,0.76551,0.39506,1.68079,1.02414,1.68709,0.0003764,0.0003764,0.0003764
84,2665.2,1.17538,0.97881,1.26691,0.82836,0.72038,0.77269,0.40211,1.60394,1.02682,1.63061,0.0003566,0.0003566,0.0003566
85,2696.23,1.21679,0.94129,1.31408,0.79817,0.71642,0.76127,0.41978,1.63129,1.02109,1.65868,0.0003368,0.0003368,0.0003368
86,2727.91,1.20156,0.95999,1.30947,0.83255,0.66793,0.75552,0.40681,1.67504,1.0397,1.77499,0.000317,0.000317,0.000317
87,2759.67,1.22011,0.94482,1.28712,0.80743,0.70149,0.75802,0.38917,1.67843,1.04728,1.74947,0.0002972,0.0002972,0.0002972
88,2790.93,1.18812,0.95529,1.29947,0.80561,0.71642,0.75999,0.41172,1.65216,1.02926,1.68069,0.0002774,0.0002774,0.0002774
89,2822.41,1.16277,0.91938,1.27244,0.84521,0.64179,0.75147,0.39622,1.72288,1.02113,1.76305,0.0002576,0.0002576,0.0002576
90,2854.01,1.20294,0.95966,1.30456,0.79049,0.70149,0.75951,0.40716,1.61588,1.0448,1.70583,0.0002378,0.0002378,0.0002378
91,2887.14,1.13924,0.87671,1.27393,0.87393,0.74627,0.79442,0.43551,1.61979,0.97499,1.67122,0.000218,0.000218,0.000218
92,2918.5,1.15676,0.87517,1.31067,0.87237,0.73134,0.78087,0.41963,1.6066,1.01909,1.67165,0.0001982,0.0001982,0.0001982
93,2949.99,1.09328,0.81712,1.25157,0.87269,0.71642,0.78027,0.41471,1.61211,1.04472,1.68024,0.0001784,0.0001784,0.0001784
94,2981.18,1.0965,0.80202,1.26508,0.83885,0.71642,0.79798,0.4322,1.59985,1.00438,1.65714,0.0001586,0.0001586,0.0001586
95,3012.45,1.08734,0.79259,1.25346,0.8284,0.73134,0.80472,0.44051,1.5924,0.98908,1.66665,0.0001388,0.0001388,0.0001388
96,3044.73,1.06515,0.81929,1.24812,0.84827,0.70149,0.80521,0.45093,1.60026,0.98476,1.67529,0.000119,0.000119,0.000119
97,3076.56,1.05397,0.79397,1.25378,0.87049,0.70149,0.79519,0.44119,1.59463,1.02744,1.68556,9.92e-05,9.92e-05,9.92e-05
98,3107.96,1.04938,0.79175,1.23231,0.83925,0.71642,0.79136,0.43805,1.58615,0.99616,1.67466,7.94e-05,7.94e-05,7.94e-05
99,3139.39,1.0537,0.78225,1.2321,0.7819,0.79104,0.80095,0.43889,1.59751,0.99027,1.69249,5.96e-05,5.96e-05,5.96e-05
100,3170.78,1.08388,0.78573,1.25187,0.86183,0.73134,0.79685,0.43729,1.60521,0.99372,1.69759,3.98e-05,3.98e-05,3.98e-05
