epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,639.733,0.37591,0.31741,0.85934,0.97643,0.94335,0.97327,0.9129,0.56624,0.40077,0.95382,0.000643795,0.000643795,0.000643795
64,650.013,0.38417,0.31115,0.8632,0.97404,0.95508,0.9734,0.91266,0.5616,0.39599,0.95348,0.000627292,0.000627292,0.000627292
65,658.893,0.40713,0.31786,0.87147,0.96343,0.95584,0.97282,0.91073,0.58858,0.42516,0.97085,0.000610789,0.000610789,0.000610789
66,669.138,0.38681,0.30768,0.86402,0.96898,0.95707,0.97506,0.91543,0.56114,0.38262,0.95457,0.000594286,0.000594286,0.000594286
67,679.643,0.40437,0.31448,0.86558,0.96424,0.95927,0.97312,0.91302,0.56812,0.39381,0.95161,0.000577782,0.000577782,0.000577782
68,688.515,0.41537,0.31879,0.87203,0.9697,0.95504,0.9716,0.91069,0.56538,0.38578,0.95778,0.000561279,0.000561279,0.000561279
69,698.812,0.36656,0.29547,0.84862,0.96461,0.95458,0.97307,0.91496,0.54847,0.385,0.94772,0.000544776,0.000544776,0.000544776
70,709.271,0.35915,0.29042,0.85389,0.97604,0.95386,0.97404,0.91535,0.58152,0.3786,0.95492,0.000528272,0.000528272,0.000528272
71,718.818,0.38771,0.30572,0.86967,0.97008,0.96152,0.97399,0.91424,0.56571,0.37332,0.96549,0.000511769,0.000511769,0.000511769
72,728.261,0.36623,0.29446,0.85563,0.97224,0.9577,0.97541,0.91535,0.5644,0.36626,0.96287,0.000495266,0.000495266,0.000495266
73,738.629,0.36898,0.28973,0.85782,0.97529,0.95701,0.97525,0.91333,0.56666,0.36169,0.95678,0.000478762,0.000478762,0.000478762
74,748.792,0.37461,0.38727,0.87915,0.97477,0.95691,0.97375,0.91551,0.54466,0.36785,0.9526,0.000462259,0.000462259,0.000462259
75,757.816,0.37736,0.29882,0.85778,0.97479,0.96071,0.975,0.9141,0.56674,0.38242,0.96038,0.000445756,0.000445756,0.000445756
76,768.162,0.36626,0.30401,0.86291,0.97589,0.95575,0.97426,0.91536,0.54259,0.36941,0.95333,0.000429253,0.000429253,0.000429253
77,778.385,0.36365,0.29426,0.8567,0.96494,0.95892,0.97335,0.91542,0.55096,0.38651,0.95508,0.000412749,0.000412749,0.000412749
78,787.37,0.34487,0.27888,0.85447,0.97187,0.95364,0.97575,0.91642,0.54157,0.37076,0.95079,0.000396246,0.000396246,0.000396246
79,798.168,0.37387,0.29256,0.8641,0.97422,0.95383,0.97401,0.91738,0.53869,0.36507,0.95196,0.000379743,0.000379743,0.000379743
80,808.449,0.35498,0.29573,0.85798,0.97643,0.95478,0.97349,0.9171,0.55129,0.37053,0.95871,0.000363239,0.000363239,0.000363239
81,817.853,0.36625,0.28883,0.85947,0.97351,0.95275,0.97314,0.91402,0.55839,0.37145,0.96717,0.000346736,0.000346736,0.000346736
82,827.468,0.3516,0.28102,0.85138,0.97015,0.95855,0.97435,0.91793,0.53789,0.35884,0.9531,0.000330233,0.000330233,0.000330233
83,837.961,0.34433,0.27946,0.85524,0.97134,0.95411,0.97381,0.91783,0.53536,0.36452,0.95065,0.000313729,0.000313729,0.000313729
84,848.063,0.33662,0.27029,0.84941,0.97276,0.95217,0.97303,0.91594,0.53749,0.36103,0.95052,0.000297226,0.000297226,0.000297226
85,857.001,0.35708,0.28158,0.85496,0.96873,0.95595,0.97308,0.91636,0.5397,0.36459,0.95224,0.000280723,0.000280723,0.000280723
86,867.433,0.32742,0.26459,0.8431,0.97707,0.95681,0.97434,0.91916,0.53093,0.35558,0.9475,0.00026422,0.00026422,0.00026422
87,877.95,0.33057,0.26398,0.85017,0.97709,0.95849,0.97496,0.9193,0.53416,0.35639,0.94973,0.000247716,0.000247716,0.000247716
88,886.959,0.32079,0.26412,0.84801,0.97885,0.95573,0.97547,0.9181,0.53635,0.35724,0.9518,0.000231213,0.000231213,0.000231213
