epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1018.71,0.94349,0.60222,1.05572,0.812,0.70588,0.76899,0.44995,1.51219,0.99843,1.39704,0.0006536,0.0006536,0.0006536
70,1032.96,0.93172,0.60202,1.05753,1,0.60902,0.77953,0.45124,1.49899,1.01581,1.41606,0.0006338,0.0006338,0.0006338
71,1047.26,0.90733,0.56049,1.03968,0.79999,0.73529,0.76612,0.42916,1.56445,1.08224,1.43508,0.000614,0.000614,0.000614
72,1061.56,0.918,0.57517,1.03961,0.74862,0.70588,0.76638,0.47405,1.55791,0.97523,1.4216,0.0005942,0.0005942,0.0005942
73,1075.96,0.93489,0.58988,1.06608,0.81117,0.75824,0.80637,0.49332,1.56358,0.87684,1.41486,0.0005744,0.0005744,0.0005744
74,1091.63,0.92693,0.5892,1.04483,0.88798,0.64706,0.79166,0.49136,1.45509,0.93007,1.38313,0.0005546,0.0005546,0.0005546
75,1106.41,0.88381,0.55332,1.03716,0.80572,0.76471,0.78309,0.47707,1.49957,1.0309,1.41482,0.0005348,0.0005348,0.0005348
76,1121.13,0.87817,0.56589,1.04491,0.84796,0.73529,0.79696,0.45782,1.52159,0.90525,1.41371,0.000515,0.000515,0.000515
77,1135.72,0.89583,0.56771,1.03139,0.83591,0.70588,0.7881,0.48272,1.43812,0.94897,1.36687,0.0004952,0.0004952,0.0004952
78,1150.48,0.90854,0.58371,1.05001,0.83809,0.70588,0.76974,0.46149,1.47927,1.07793,1.39146,0.0004754,0.0004754,0.0004754
79,1164.82,0.84538,0.54569,0.99882,0.95365,0.60543,0.77389,0.45633,1.42394,0.97542,1.38426,0.0004556,0.0004556,0.0004556
80,1179.32,0.85976,0.5348,1.02197,0.81184,0.70588,0.79587,0.46882,1.47719,0.97232,1.38411,0.0004358,0.0004358,0.0004358
81,1193.7,0.8569,0.53502,1.01763,0.80558,0.73134,0.74829,0.44797,1.49971,1.01949,1.36165,0.000416,0.000416,0.000416
82,1208.33,0.82734,0.54203,1.00919,0.88828,0.70172,0.77706,0.45628,1.50781,0.9736,1.38784,0.0003962,0.0003962,0.0003962
83,1223.04,0.83508,0.54879,1.01578,0.88316,0.66718,0.77369,0.4609,1.51319,0.96021,1.4294,0.0003764,0.0003764,0.0003764
84,1237.71,0.7949,0.50913,0.98256,0.90709,0.67647,0.76127,0.44385,1.5335,0.99423,1.49817,0.0003566,0.0003566,0.0003566
85,1252.35,0.79594,0.51027,1.00405,0.90785,0.64706,0.74943,0.43868,1.53516,1.04044,1.48776,0.0003368,0.0003368,0.0003368
86,1266.89,0.79129,0.50298,0.9984,0.87665,0.67647,0.76763,0.45751,1.52182,0.98621,1.43088,0.000317,0.000317,0.000317
87,1281.61,0.78421,0.49957,0.99021,0.91046,0.67647,0.77872,0.46587,1.57224,1.04136,1.49718,0.0002972,0.0002972,0.0002972
88,1296.22,0.76547,0.49671,0.97765,0.91613,0.67647,0.79183,0.46406,1.5461,0.96517,1.4744,0.0002774,0.0002774,0.0002774
89,1310.77,0.77796,0.47999,0.96975,0.83625,0.67647,0.79763,0.46919,1.52555,0.95255,1.51787,0.0002576,0.0002576,0.0002576
90,1325.27,0.74694,0.48485,0.98983,0.87379,0.67647,0.78492,0.46439,1.50923,0.98015,1.46295,0.0002378,0.0002378,0.0002378
91,1340.94,0.71622,0.45576,0.96211,0.95621,0.64239,0.78052,0.47568,1.53749,1.12417,1.49169,0.000218,0.000218,0.000218
92,1355.74,0.71886,0.44433,0.95692,0.94626,0.61765,0.78811,0.49053,1.46569,1.01052,1.39536,0.0001982,0.0001982,0.0001982
93,1370,0.68706,0.43458,0.96052,0.91317,0.64706,0.79929,0.49353,1.47856,0.96787,1.40851,0.0001784,0.0001784,0.0001784
94,1384.25,0.68464,0.43256,0.95628,0.88006,0.67647,0.79778,0.48983,1.44485,0.9916,1.38005,0.0001586,0.0001586,0.0001586
95,1398.55,0.67176,0.41984,0.94094,0.90917,0.67647,0.79092,0.50309,1.42689,1.05165,1.40362,0.0001388,0.0001388,0.0001388
96,1413.63,0.65752,0.40401,0.93568,0.85838,0.67647,0.78342,0.48104,1.46291,1.06459,1.43211,0.000119,0.000119,0.000119
97,1427.88,0.65458,0.40774,0.93351,0.8561,0.70006,0.79293,0.48202,1.43299,0.9966,1.3884,9.92e-05,9.92e-05,9.92e-05
98,1442.28,0.65184,0.40226,0.93039,0.81681,0.70588,0.78917,0.47212,1.45341,1.03077,1.41394,7.94e-05,7.94e-05,7.94e-05
99,1456.72,0.64024,0.41232,0.945,0.90431,0.64706,0.78839,0.46908,1.45914,1.01407,1.4128,5.96e-05,5.96e-05,5.96e-05
100,1471.55,0.62492,0.39778,0.93299,0.82056,0.70588,0.79045,0.47239,1.4629,1.01149,1.40305,3.98e-05,3.98e-05,3.98e-05
